fold,acc,sen,spec,f1
42,                     66.0,                     52.2,                     76.7,                     57.099999999999994
56,                     54.7,                     28.000000000000004,                     78.60000000000001,                     36.8
96,                     64.2,                     59.099999999999994,                     67.7,                     57.8
100,                     64.2,                     47.599999999999994,                     75.0,                     51.300000000000004
777,                     62.3,                     47.599999999999994,                     71.89999999999999,                     50.0
avg,                 62.28,                 46.90,                 73.98,                 50.60
std,                 4.43,                 11.57,                 4.29,                 8.45
