fold,acc,sen,spec,f1
42,                     60.4,                     73.9,                     50.0,                     61.8
56,                     62.3,                     44.0,                     78.60000000000001,                     52.400000000000006
96,                     66.0,                     59.099999999999994,                     71.0,                     59.099999999999994
100,                     73.6,                     66.7,                     78.10000000000001,                     66.7
777,                     49.1,                     33.300000000000004,                     59.4,                     34.1
avg,                 62.28,                 55.40,                 67.42,                 54.82
std,                 8.93,                 16.60,                 12.45,                 12.68
