fold,acc,sen,spec,f1
42,                     64.2,                     65.2,                     63.3,                     61.199999999999996
56,                     54.7,                     52.0,                     57.099999999999994,                     52.0
96,                     52.800000000000004,                     77.3,                     35.5,                     57.599999999999994
100,                     64.2,                     66.7,                     62.5,                     59.599999999999994
777,                     62.3,                     52.400000000000006,                     68.8,                     52.400000000000006
avg,                 59.64,                 62.72,                 57.44,                 56.56
std,                 5.47,                 10.68,                 12.95,                 4.18
