fold,acc,sen,spec,f1
42,                     62.3,                     52.2,                     70.0,                     54.50000000000001
56,                     60.4,                     36.0,                     82.1,                     46.2
96,                     62.3,                     59.099999999999994,                     64.5,                     56.49999999999999
100,                     66.0,                     47.599999999999994,                     78.10000000000001,                     52.6
777,                     56.599999999999994,                     38.1,                     68.8,                     41.0
avg,                 61.52,                 46.60,                 72.70,                 50.16
std,                 3.42,                 9.66,                 7.20,                 6.41
