fold,acc,sen,spec,f1
42,                     62.3,                     65.2,                     60.0,                     60.0
56,                     67.9,                     72.0,                     64.3,                     67.9
96,                     64.2,                     50.0,                     74.2,                     53.7
100,                     64.2,                     66.7,                     62.5,                     59.599999999999994
777,                     52.800000000000004,                     23.799999999999997,                     71.89999999999999,                     28.599999999999998
avg,                 62.28,                 55.54,                 66.58,                 53.96
std,                 5.68,                 19.54,                 6.15,                 15.05
