fold,acc,sen,spec,f1
42,                     58.5,                     34.8,                     76.7,                     42.1
56,                     52.800000000000004,                     44.0,                     60.699999999999996,                     46.800000000000004
96,                     43.4,                     50.0,                     38.7,                     42.3
100,                     60.4,                     71.39999999999999,                     53.1,                     58.8
777,                     52.800000000000004,                     42.9,                     59.4,                     41.9
avg,                 53.58,                 48.62,                 57.72,                 46.38
std,                 6.63,                 13.84,                 13.74,                 7.24
