fold,acc,sen,spec,f1
42,                     62.3,                     47.8,                     73.3,                     52.400000000000006
56,                     64.2,                     44.0,                     82.1,                     53.7
96,                     81.10000000000001,                     63.6,                     93.5,                     73.7
100,                     62.3,                     38.1,                     78.10000000000001,                     44.4
777,                     69.8,                     66.7,                     71.89999999999999,                     63.6
avg,                 67.94,                 52.04,                 79.78,                 57.56
std,                 7.97,                 12.50,                 8.67,                 11.31
