fold,acc,sen,spec,f1
42,                     67.9,                     56.49999999999999,                     76.7,                     60.5
56,                     62.3,                     40.0,                     82.1,                     50.0
96,                     75.5,                     45.5,                     96.8,                     60.6
100,                     64.2,                     38.1,                     81.2,                     45.7
777,                     69.8,                     71.39999999999999,                     68.8,                     65.2
avg,                 67.94,                 50.30,                 81.12,                 56.40
std,                 5.16,                 13.80,                 10.22,                 8.18
