fold,acc,sen,spec,f1
42,                     62.3,                     56.49999999999999,                     66.7,                     56.49999999999999
56,                     50.9,                     52.0,                     50.0,                     50.0
96,                     50.9,                     63.6,                     41.9,                     51.9
100,                     64.2,                     61.9,                     65.60000000000001,                     57.8
777,                     60.4,                     52.400000000000006,                     65.60000000000001,                     51.2
avg,                 57.74,                 57.28,                 57.96,                 53.48
std,                 6.39,                 5.33,                 11.34,                 3.45
