fold,acc,sen,spec,f1
42,                     64.2,                     52.2,                     73.3,                     55.800000000000004
56,                     50.9,                     36.0,                     64.3,                     40.9
96,                     60.4,                     63.6,                     58.099999999999994,                     57.099999999999994
100,                     64.2,                     81.0,                     53.1,                     64.2
777,                     60.4,                     66.7,                     56.2,                     57.099999999999994
avg,                 60.02,                 59.90,                 61.00,                 55.02
std,                 5.44,                 16.85,                 8.00,                 8.56
