fold,acc,sen,spec,f1
42,                     73.6,                     60.9,                     83.3,                     66.7
56,                     60.4,                     56.00000000000001,                     64.3,                     57.099999999999994
96,                     79.2,                     63.6,                     90.3,                     71.8
100,                     64.2,                     52.400000000000006,                     71.89999999999999,                     53.7
777,                     69.8,                     61.9,                     75.0,                     61.9
avg,                 69.44,                 58.96,                 76.96,                 62.24
std,                 7.45,                 4.63,                 10.10,                 7.26
