fold,acc,sen,spec,f1
42,                     66.0,                     47.8,                     80.0,                     55.00000000000001
56,                     64.2,                     44.0,                     82.1,                     53.7
96,                     75.5,                     54.50000000000001,                     90.3,                     64.9
100,                     66.0,                     52.400000000000006,                     75.0,                     55.00000000000001
777,                     71.7,                     71.39999999999999,                     71.89999999999999,                     66.7
avg,                 68.68,                 54.02,                 79.86,                 59.06
std,                 4.75,                 10.54,                 7.09,                 6.21
