fold,acc,sen,spec,f1
42,                     58.5,                     65.2,                     53.300000000000004,                     57.699999999999996
56,                     52.800000000000004,                     68.0,                     39.300000000000004,                     57.599999999999994
96,                     47.199999999999996,                     72.7,                     28.999999999999996,                     53.300000000000004
100,                     69.8,                     57.099999999999994,                     78.10000000000001,                     60.0
777,                     56.599999999999994,                     52.400000000000006,                     59.4,                     48.9
avg,                 56.98,                 63.08,                 51.82,                 55.50
std,                 8.37,                 8.23,                 18.89,                 4.41
