fold,acc,sen,spec,f1
42,                     71.7,                     69.6,                     73.3,                     68.10000000000001
56,                     62.3,                     56.00000000000001,                     67.9,                     58.3
96,                     62.3,                     36.4,                     80.60000000000001,                     44.4
100,                     62.3,                     38.1,                     78.10000000000001,                     44.4
777,                     56.599999999999994,                     42.9,                     65.60000000000001,                     43.9
avg,                 63.04,                 48.60,                 73.10,                 51.82
std,                 5.43,                 14.03,                 6.41,                 10.95
