fold,acc,sen,spec,f1
42,                     67.9,                     56.49999999999999,                     76.7,                     60.5
56,                     54.7,                     28.000000000000004,                     78.60000000000001,                     36.8
96,                     73.6,                     59.099999999999994,                     83.89999999999999,                     65.0
100,                     69.8,                     61.9,                     75.0,                     61.9
777,                     75.5,                     61.9,                     84.39999999999999,                     66.7
avg,                 68.30,                 53.48,                 79.72,                 58.18
std,                 8.17,                 14.42,                 4.24,                 12.20
