fold,acc,sen,spec,f1
42,                     60.4,                     60.9,                     60.0,                     57.099999999999994
56,                     54.7,                     48.0,                     60.699999999999996,                     50.0
96,                     62.3,                     72.7,                     54.800000000000004,                     61.5
100,                     66.0,                     71.39999999999999,                     62.5,                     62.5
777,                     60.4,                     61.9,                     59.4,                     55.300000000000004
avg,                 60.76,                 62.98,                 59.48,                 57.28
std,                 4.09,                 9.94,                 2.86,                 5.05
