fold,acc,sen,spec,f1
42,                     58.5,                     47.8,                     66.7,                     50.0
56,                     54.7,                     60.0,                     50.0,                     55.60000000000001
96,                     58.5,                     63.6,                     54.800000000000004,                     56.00000000000001
100,                     56.599999999999994,                     57.099999999999994,                     56.2,                     51.1
777,                     60.4,                     47.599999999999994,                     68.8,                     48.8
avg,                 57.74,                 55.22,                 59.30,                 52.30
std,                 2.17,                 7.24,                 8.08,                 3.30
