fold,acc,sen,spec,f1
42,                     62.3,                     65.2,                     60.0,                     60.0
56,                     54.7,                     52.0,                     57.099999999999994,                     52.0
96,                     49.1,                     68.2,                     35.5,                     52.6
100,                     64.2,                     61.9,                     65.60000000000001,                     57.8
777,                     54.7,                     52.400000000000006,                     56.2,                     47.8
avg,                 57.00,                 59.94,                 54.88,                 54.04
std,                 6.18,                 7.41,                 11.44,                 4.87
