fold,acc,sen,spec,f1
42,                     67.9,                     65.2,                     70.0,                     63.800000000000004
56,                     58.5,                     56.00000000000001,                     60.699999999999996,                     56.00000000000001
96,                     75.5,                     68.2,                     80.60000000000001,                     69.8
100,                     66.0,                     57.099999999999994,                     71.89999999999999,                     57.099999999999994
777,                     66.0,                     61.9,                     68.8,                     59.099999999999994
avg,                 66.78,                 61.68,                 70.40,                 61.16
std,                 6.06,                 5.20,                 7.13,                 5.68
