fold,acc,sen,spec,f1
42,                     67.9,                     60.9,                     73.3,                     62.2
56,                     60.4,                     36.0,                     82.1,                     46.2
96,                     79.2,                     54.50000000000001,                     96.8,                     68.60000000000001
100,                     64.2,                     42.9,                     78.10000000000001,                     48.6
777,                     69.8,                     71.39999999999999,                     68.8,                     65.2
avg,                 68.30,                 53.14,                 79.82,                 58.16
std,                 7.08,                 14.09,                 10.73,                 10.12
